ID	Name	Desc	Price	Type	Col1	Col2	Col3
256	Large Jelly butter cookie box	jelly butter cookies	10.99	7	1	100	0
257	Large Coconut cookie box	coconut flavor cookies	10.99	7	1	100	0
258	Large eggless Almond Nankatai cookie box	almond with cardamom flavor cookies	10.99	7	1	100	0
259	Large Tutti-frutti cookie box	butter cookies with mini fruit candies	10.99	7	1	100	0
260	Large Chocolate cookie box	chocolate butter cookies	10.99	7	1	100	0
261	Large Cashew cookie box	cashew butter cookies	10.99	7	1	100	0
262	Large Whole almond cookie box	butter cookies with whole almond 	10.99	7	1	100	0
263	Small egglesss jeera cookie box	eggless cumin flavor cookies	5.99	7	1	100	0
264	Small egglesss Salt cookie box	eggless plaint sweet and salt flavor cookies	5.99	7	1	100	0
265	Small eggless pistachio cookie box	eggless pistachio butter cookies	5.99	7	1	100	0
266	Small eggless crushed almond cookie box	eggless crushed almond butter cookies	5.99	7	1	100	0
267	Small Jelly butter cookie box	jelly butter cookies	5.99	7	1	100	0
